"IndivYr","AnimalID","SprAO","FallAO","SprVI","FallVI","SprNSD","FallNSD"
"140040-14",140040,0.280554959,0,0.062411894624292,0.0122525612158396,49.3589567020807,160.238427972063
"140050-14",140050,0.365560799,0.321284178,0.183685944923195,0.286033526958729,11.5321457390937,59.2463508856634
"140060-14",140060,0.113588623,0.707666346,0.0483101628200073,0.388176644241061,68.7119776721862,30.1915912508592
"140070-14",140070,0.68497005,0.830968519,0.53524978011752,0.736857696896306,7.07308204250368,12.4968647072666
"140100-14",140100,0.733224413,0.0620788,0.438781387571915,0.0319833237436368,20.0662140382843,81.9558794318443
"140120-14",140120,0.880904284,0,0.0585504262743254,1.6001420658332e-05,35.4125310988922,169.214020115175
"140290-14",140290,0,0.331825508,0.000294529210506222,0.250600726334802,42.5668193259683,33.2849222375176
"140300-14",140300,0,0,0,0,108.142059153508,74.4411321676824
"140320-14",140320,0.107678056,0.250850787,0.0308950936351652,0.148456654478026,51.1195796622122,241.641871269451
"140340-14",140340,0,0,0,1.66779901625467e-07,95.0936045929817,91.7421070231111
"140360-14",140360,0.139254226,NA,0.0134111378490165,NA,32.9410305438882,NA
"140380-14",140380,0.795109666,0.850126278,0.457914736496204,0.728911656913336,6.66814015616513,12.6056362002298
"140400-14",140400,0.036967791,0.563570692,0.0221418875016506,0.344331576213114,78.6405239438359,22.6371955517505
"140480-14",140480,0.563595434,0.678536707,0.323472439911169,0.428611215599743,56.0800353568872,43.3003248125171
"140560-14",140560,0,0,0,1.12783003499542e-05,140.439687510065,146.215932026625
"140600-14",140600,0.126270191,0.257059203,0.0808048570299386,0.285579020780527,109.471196931719,49.6605946043503
"140630-14",140630,0.330828015,0.361494988,0.207862956407001,0.326645419068203,28.8146426395829,43.6228189137803
"140650-14",140650,0.712014153,0.795526451,0.530295648620065,0.731259260308338,5.63201932666804,12.8515054971556
"140680-14",140680,0.747202359,0.940018536,0.0928750404868497,0.105427398049783,76.9778666710753,17.5090427190451
"140710-14",140710,0.137498961,0.597424589,0.0481589871453609,0.303351800607977,111.499970353789,68.2382776757653
"140800-14",140800,0,0,0,0,178.990527013429,112.189181830938
"140850-14",140850,0,0,1.47845282625896e-07,6.80528193267256e-06,111.204704538716,75.2071404242527
"140890-14",140890,0.172535291,0.379212588,0.0904932744504816,0.191865165955973,208.495384982202,111.271347352118
"140900-14",140900,0.168598021,NA,0.204186313066782,NA,158.007675277263,NA
"140910-14",140910,0.04447247,0.016035344,0.0128326968208721,0.0069506244336262,56.3204764222913,49.9185169849173
"140920-14",140920,1,NA,0.268295052690843,NA,13.7808112424573,NA
"140940-14",140940,0.721376508,0.97613844,0.34457438439919,0.422045776615298,39.8115016989449,115.345885207827
"140960-14",140960,0.394086299,0.531711263,0.244042997255956,0.297567688103611,79.2245474481283,66.7007139628115
"140980-14",140980,0.302858567,0,0.0427993068082059,5.14283659997615e-07,57.3166713177769,93.2129964930987
"141000-14",141000,0.111524896,0.170384656,0.0829448768367277,0.096077305119097,150.815434648797,128.91706994386
"141010-14",141010,0.172118661,0,0.0269767303497744,0,58.4411755753794,190.580954771603
"141060-14",141060,0.428461867,0.552337881,0.197090854391058,0.299277433685926,69.2108830317799,75.2009370472592
"141070-14",141070,0.1744547,0.366082265,0.138620266965752,0.369542222892643,30.1663876465564,35.524506336733
"141080-14",141080,0.370539137,0.615065471,0.13088167007949,0.323853227061568,83.0733069848973,25.4250484656942
"141090-14",141090,0.733234185,NA,0.550617966661327,NA,5.59837641197293,NA
"141100-14",141100,0.107677011,0.572175971,0.0490492205810685,0.378198941736209,58.7395409909539,29.6392011561389
"141110-14",141110,0.106486402,NA,0.0760106407943833,NA,180.952738308814,NA
"141120-14",141120,0,0,0,2.90336318070013e-06,128.648903285226,91.1227568619133
"141130-14",141130,0.031499156,0.073764709,0.026466654991806,0.0407790727653636,133.21564952473,122.912391591045
"141150-14",141150,0,0,0.000549094454392777,0,77.9479265689175,281.076822111585
"141160-14",141160,0,0,0,0,87.8464440108805,74.5594864936249
"141170-14",141170,0.051723174,NA,0.019977003539243,NA,131.34925941688,NA
"141180-14",141180,0,0,0,0,396.209842708088,317.600910432482
"141200-14",141200,0,NA,0.00659338008323412,NA,160.824145386623,NA
"141210-14",141210,0.85100334,NA,0.449377152705902,NA,11.7767003156174,NA
"141220-14",141220,0.299383208,NA,0.0599254468746062,NA,59.4260197169065,NA
"141260-14",141260,0.211260755,0.138924511,0.0174554533523928,0.0260679550488782,123.671769108436,82.1127408190605
"141290-14",141290,0,NA,0.00039130996522657,NA,41.3306432831968,NA
"141300-14",141300,0,NA,0,NA,160.741465493379,NA
"141340-14",141340,0,0,0,0,120.118323481278,70.6516877849656
"141380-14",141380,0,NA,0,NA,147.510179071315,NA
"141400-14",141400,0,NA,3.92082188616576e-06,NA,263.438866286343,NA
"141470-14",141470,0,0,0,0,124.984341646966,106.085567058673
"141490-14",141490,0.178260894,0.27488802,0.251786218043188,0.326660810015088,166.158532995927,29.7594067238154
"141500-14",141500,0,NA,0,NA,146.667044929763,NA
"141520-14",141520,0.255491764,0.084191078,0.00928549071396893,0.0121869004624332,75.9865325374853,37.2739422005292
"141560-14",141560,0,0.098919518,0,0.0433870245846926,147.12229992396,20.438771789897
"141570-14",141570,0,NA,0,NA,257.086197761443,NA
"141580-14",141580,0,NA,8.93280807802125e-05,NA,166.966377552,NA
"141610-14",141610,0.611762268,0.513732825,0.0541176394684132,0.120398536132378,73.422343078608,74.9100761226113
"141630-14",141630,0.128658824,NA,0.0270134263852705,NA,9.64848711955739,NA
"140040-15",140040,0,0,0,0,221.089810185649,120.289105415924
"140050-15",140050,0.354879116,0.241435669,0.305245586497491,0.0996622048546718,25.4087905181164,23.6265162659729
"140060-15",140060,0.459514672,0.386823157,0.257795574189052,0.313205856329538,61.7873515947196,46.9355014451669
"140070-15",140070,0.88758773,0.914859596,0.694826224629853,0.540861204886521,12.0534888729862,7.53223526542203
"140100-15",140100,0.338793024,NA,0.14066309499494,NA,71.2533166411694,NA
"140290-15",140290,0.40571624,0.082335513,0.260784066383523,0.0472241883195049,11.87492850042,66.1905498763694
"140300-15",140300,0,0,0,0.000431572790072924,157.660399777604,49.7268474465171
"140320-15",140320,0.430366907,0.188042972,0.289389235559227,0.0253361361870885,155.608863502234,41.6186053346356
"140340-15",140340,0,0,5.12665722464318e-06,0,75.5036207096416,86.3319265666729
"140380-15",140380,0.789083038,0.897193729,0.674083855221316,0.537597838826259,8.1626175121457,11.3738853921445
"140400-15",140400,0.568021882,0.435737001,0.315979354470674,0.300922339012085,63.1540967959068,50.7065354443268
"140480-15",140480,0.799561988,0.528081747,0.492992251979434,0.392795663476119,31.3582754615102,63.9593850421595
"140560-15",140560,0,0.756366065,2.39758485828258e-05,0.122155984020233,138.80075083438,29.7658646936926
"140600-15",140600,0.449556872,0.350331822,0.377952096399628,0.264114858024725,58.6176174002901,27.561227915082
"140630-15",140630,0.373362697,0.075668763,0.333138520055124,0.0434617400466992,25.2961996507214,32.2570825025886
"140650-15",140650,1,1,0.527712586126551,0.452069338106352,43.9007407692235,123.986120979927
"140680-15",140680,0.202129089,0.291947637,0.0354003062828879,0.0532642263846103,140.51999258655,73.7094965916654
"140710-15",140710,0.59115049,0.44373852,0.27962853581922,0.280526926134763,48.9809767383885,50.7765453156999
"140800-15",140800,0,0.613212029,0,0.189908985727781,158.375706362246,3.73005486910622
"140850-15",140850,0,0,0.000418183736757585,0.00481429157095635,124.316132942417,80.1971004724415
"140890-15",140890,0.514256661,0.276432652,0.37322402573118,0.230021895555392,35.1149058051257,61.4182067388931
"140910-15",140910,0.008671913,0.205760014,0.0114262822317687,0.112624934421929,99.8528777440652,92.9496805793357
"140940-15",140940,0.491523377,0.271054701,0.351651821011296,0.231754978296453,50.9501437347218,60.0456330260041
"140960-15",140960,0.569646891,0.422415141,0.287362955037606,0.275009824095474,47.8060123251647,67.3818807484947
"140980-15",140980,0,0.21856205,2.45362108267093e-05,0.0411794852870537,102.122609235114,68.1523654575733
"141000-15",141000,0.031623781,NA,0.0314579360007841,NA,138.054072798223,NA
"141010-15",141010,0,0,6.61554772073635e-07,0.00165586406864671,202.909398853823,101.735155909578
"141060-15",141060,0.693890732,0.6121317,0.288365337978936,0.339422593729478,61.0537136401031,42.7582570277237
"141070-15",141070,0.48924057,0.270101968,0.414995491413475,0.239379666409946,34.4037590555395,24.0533449091414
"141080-15",141080,0.672104812,0.490303078,0.319386818314006,0.330138924004595,42.6973604293241,55.4094682652807
"141100-15",141100,0.477686146,0.37043213,0.269401834783204,0.287257571251827,53.305448020698,86.348083157354
"141120-15",141120,0,0,2.02271150189838e-05,2.63572814328455e-06,209.274144647191,138.538318238262
"141130-15",141130,0.543769206,0.447132691,0.364526796956313,0.269505230093788,97.8635345270894,59.8211977608482
"141150-15",141150,0,0,0,0,257.021390608143,165.894179241661
"141160-15",141160,0,NA,0,NA,176.513256318929,NA
"141180-15",141180,0,NA,0,NA,268.698353081193,NA
"141260-15",141260,0.078322589,0.206827614,0.0202644656532047,0.0148176331534721,74.1338322128411,148.832004283319
"141340-15",141340,0,NA,0,NA,48.476574445284,NA
"141470-15",141470,0,NA,0.0113884319609738,NA,55.3941735348578,NA
"141490-15",141490,0.4226232,0.283122247,0.407658803645595,0.23389445249628,59.8679013102625,27.6283058669645
"141520-15",141520,0,NA,2.40763674206895e-06,NA,113.2655771886,NA
"141560-15",141560,0.050259925,0,0.0229592998804822,0.000594182872969718,71.758673920149,98.6177841043121
"141610-15",141610,0.624948245,NA,0.141144494812504,NA,66.5251461542965,NA
"150360-15",150360,0.018976059,0,0.0195887600309213,9.22276054586499e-07,186.141598228688,150.460481549267
"150920-15",150920,0.067134719,0.051317006,0.0563374272540102,0.0178208595215274,99.8394671257638,9.46280720606387
"151110-15",151110,0.3731301,NA,0.318148157245172,NA,21.770290970462,NA
"151170-15",151170,0.667915342,NA,0.26091116957081,NA,17.3087379884043,NA
"151200-15",151200,0.001029376,0,0.00618906322188615,0.00504165030059305,195.795161776114,78.4488584692149
"151220-15",151220,0.021010393,NA,0.00995880542087394,NA,272.134094203298,NA
"151300-15",151300,0.335865089,NA,0.206114478858649,NA,22.4033679671625,NA
"151380-15",151380,0,NA,0,NA,37.6289636784736,NA
"151570-15",151570,0,0,2.56876662747641e-07,0,252.841978172503,146.085475051668
"151580-15",151580,0.05825283,NA,0.0212016734194612,NA,87.0811643107178,NA
"140120-15",140120,0,NA,0,NA,NA,NA
